player,country,rating_2
maaryy,Poland,1.04
maaxg1,Argentina,0.98
Machado,Brazil,1.0
macke,Sweden,1.07
MaD,Portugal,0.65
Madam,Lithuania,1.05
Maddis,Sweden,0.96
Maddu,Australia,0.96
MadeInRed,Norway,1.12
madness,China,0.99
mag1c,Australia,0.72
mag1k3Y,Kazakhstan,1.12
maggent,Ukraine,1.07
magi,Sweden,1.06
Magic,United States,0.88
Magic,Ukraine,0.91
MAGILA,Lithuania,1.01
Magisk,Denmark,1.07
MahaR,Czech Republic,1.02
Mairel,Latvia,0.94
MAIROLLS,Thailand,1.02
Majesticzz,Mexico,0.79
Majkn,Sweden,1.03
majky,Czech Republic,1.01
Majster,Poland,1.1
Mak,Ukraine,0.84
N0D0SE,Iran,0.47
n0page,Brazil,0.81
N0R1,Romania,0.81
n0te,Belgium,0.97
n0thing,United States,1.01
n1cks,Brazil,0.66
N1dhaaal,Algeria,0.9
N1ghtraid,Vietnam,1.05
N1kace,India,1.05
N1KOLAJ,Slovakia,1.02
n1Xen,Denmark,1.06
N2o,Mongolia,1.11
n4mie,Brazil,1.03
n9xtz,Brazil,0.9
nacho,Argentina,1.0
NAF,Canada,1.08
naitte,Brazil,1.08
NAKO,Palestine,0.94
Nami,Poland,0.99
naoFU,Philippines,0.7
NaOw,Spain,1.01
Napster,Australia,0.25
NARONE,China,0.99
nasher,Uruguay,1.04
nat1zao,Brazil,0.51
NaToSaphiX,Denmark,1.07
Natra3p,United States,0.86
Natrise,Poland,0.62
natso,Iran,0.97
naturaL,Slovakia,1.01
nauh,Australia,0.92
navy,United States,0.73
nawrot,Poland,0.91
nawwk,Sweden,1.12
Nayomy,Netherlands,1.13
naz,Argentina,0.99
Nbc1,China,0.43
nbgee12,United States,0.93
NBK-,France,1.0
nbl,Argentina,0.96
nbqq,Czech Republic,1.06
ncl,Mongolia,0.91
Nea,Sweden,0.94
Oath,Portugal,1.0
obi,Mongolia,1.0
Obitooo,Indonesia,0.34
Oczarka,United States,0.88
Odayy,Palestine,0.86
ogura,Canada,0.71
ogwizard,Ukraine,1.13
OKay,Pakistan,0.68
ole,India,0.6
Olga,Brazil,1.27
olik,Czech Republic,0.92
olimp,Poland,1.04
Oliver,Germany,0.55
Olivia,Thailand,1.13
Olleja,Sweden,1.26
olofmeister,Sweden,1.06
olya,Ukraine,1.1
Omar,Lebanon,1.11
Omichella,Australia,1.02
onder,United Kingdom,0.58
ondyey,Ukraine,0.84
OneLion,Germany,1.03
OneUn1que,Ukraine,1.13
onic,Ukraine,1.06
OniX,Lithuania,1.13
onStyle,Poland,0.51
onter,United States,0.87
oona,Finland,0.7
oopee,Finland,1.02
opdust,Portugal,0.78
OpeN,Poland,0.42
Orb1t,United States,0.83
Orbit,Austria,1.01
ORG,Albania,0.46
ORIGLONIKO,Mongolia,0.95
OrphaN,Chile,0.83
oSee,United States,1.14
oskar,Czech Republic,1.12
oskvr,United Kingdom,0.99
Otto,Sweden,0.71
ottob,Finland,0.92
ottoNd,Finland,1.12
Outback,United States,1.22
outex,Slovakia,0.93
Owen,Korea,0.78
OWNER,Ukraine,1.05
Oxbrandd,France,0.84
oxycet,Turkey,0.99
oxygeN,Bulgaria,1.02
OxygeN,Kazakhstan,0.94
p12,Finland,0.82
p1ke,Sweden,1.04
p3kko,Finland,0.87
P3R3IIRA,Portugal,0.99
P4TriCK,Germany,1.0
p5p,China,0.97
PABLEK,Argentina,1.04
pain,Australia,1.1
Palash,Romania,0.75
PALM1,Sweden,1.15
pan1K,Australia,1.06
PANDAZ,Iceland,1.0
pandi7o,Czech Republic,1.02
pani,Sweden,1.08
PANIX,Germany,1.11
paqueta,Brazil,0.93
Paranormal,Mongolia,0.81
Parjerr,United States,0.78
ParkJJong,Korea,1.18
Patrick,Bulgaria,0.97
PatroN,United Arab Emirates,0.48
Patti,Denmark,1.02
paula,United States,0.92
pauliiee,Israel,1.07
pavast4r,Pakistan,0.85
pavlla,Poland,0.97
pavv,Argentina,1.05
paz,Turkey,1.06
pdrzin,Brazil,0.43
PearL,Australia,0.91
Pechyn,Czech Republic,1.05
pedrinzy,Brazil,1.02
peek a boo,Norway,0.9
Peeping,United States,1.04
peku,Finland,0.9
Pelle,Poland,1.01
Pellyy,Denmark,0.79
pepe,Brazil,0.95
Peppzor,Sweden,1.02
PerdY,Czech Republic,0.92
perez,Brazil,0.97
pesadelo,Brazil,1.07
PeTeRoOo,Poland,0.91
peterr,Iceland,0.97
Q-Q,Denmark,0.99
Qikert,Kazakhstan,1.09
Qiyarah,Netherlands,1.08
Qlocuu,Poland,1.04
qpjz,Kosovo,0.61
quaN,China,0.7
Queenix,Denmark,1.02
qwant,Estonia,0.92
Qweall,Ukraine,0.91
qz,China,0.95
qzr,Norway,0.87
r1nkle,Ukraine,1.13
r1see,Brazil,1.0
R2B2,India,1.15
R2D2J,United States,0.84
R3LiFwOw,Kazakhstan,1.12
